Sample_ID,Date,Plot_ID,PLHE_red1,PLHE_red2,PLHE_red3,PLHE_golden1,PLHE_golden2 ,PLHE_golden3,Flower_Num,FC_perc,GC_perc,Comments 
MCSP_172,8/20/2021,T7_R1_IR_N_2b,58.3,69.9,53.2,54.7,72.1,68.9,54,2,,
MCSP_173,8/20/2021,T7_R1_IR_F_2c,51.5,54.6,59.5,659,78.3,62.5,54,2,,
MCSP_174,8/20/2021,T7_R1_IR_C_2d,62.3,57,54.3,62,65.4,63.4,34,2,,
MCSP_175,8/20/2021,T7_R1_D1_C_4b,59.4,55.1,48.5,95.9,90.1,83.9,15,2,,
MCSP_176,8/20/2021,T7_R1_D1_N_4c,61.9,58.1,62.5,69.6,70.9,77.6,159,4.5,,yes
MCSP_177,8/20/2021,T7_R1_D1_F_4d,51.5,66.5,55.7,83.8,97.8,104.5,11,0.5,,
MCSP_178,8/20/2021,T7_R1_VR_F_5b,64.9,56.9,54.5,65.6,81.3,88.1,6,0.3,,no
MCSP_179,8/20/2021,T7_R1_VR_C_5c,47.9,61,46.5,76.9,89.5,64.6,25,2,,no
MCSP_180,8/20/2021,T7_R1_VR_N_5d,64.5,43.1,50.1,66.1,80,87.1,8,0.3,,no
MCSP_181,8/20/2021,T7_R3_VR_C_1a,59.8,6.4,59.1,73.2,73.2,64,28,1.5,,no
MCSP_182,8/20/2021,T7_R3_VR_F_1b,61.9,61.9,50.1,61.6,73.1,59.2,14,1,,no
MCSP_183,8/20/2021,T7_R3_VR_N_1d,45.5,58.3,56.9,60.4,77.5,80.4,22,1.5,,no
MCSP_184,8/20/2021,T7_R3_IR_C_6a,62.1,56.9,35.9,90.5,69,86.5,20,1.5,,no
MCSP_185,8/20/2021,T7_R3_IR_N_6b,59.4,69.8,54.6,71.6,79.5,79.3,39,2,,no
MCSP_186,8/20/2021,T7_R3_IR_F_6c,31.2,66.4,64.9,62.9,80,77.8,57,0.2,,yes
MCSP_187,8/20/2021,T7_R3_D1_F_7b,59.5,51.6,65.5,81.5,86.9,91.4,13,0.1,,yes
MCSP_188,8/20/2021,T7_R3_D1_C_7c,66.4,39.5,49.5,87.5,59.5,72.9,20,2,,no
MCSP_189,8/20/2021,T7_R3_D1_N_7d,49.4,60.5,32.4,66.1,77.4,67,19,1,,no
MCSP_190,8/20/2021,T7_R4_IR_C_3a,61.1,59.9,62.5,76.4,72.1,68,13,1,,no
